"dep"|"slug"|"rec"|"rec_url"
"Procuraduría Agraria"|"procuraduria-agraria"|"Ubicación geográfica de las Delegaciones y Residencias"|"http://www.pa.gob.mx/datosabiertos/Direcciones-Delegaciones-y-residencias-PA.csv"
"API-ZLO"|"api-zlo"|"Tabla del Programa de Obra Publica y Mantenimiento ejercicio 2015"|"http://www.puertomanzanillo.com.mx/datos_abiertos/4_OBRA_PUBLICA_2015.pdf"
"API-ZLO"|"api-zlo"|"Tabla de Programa Anual de Adquisiciones, Arrendamientos y Servicios 2015"|"http://www.puertomanzanillo.com.mx/datos_abiertos/3_ADQUISICIONES_2015.pdf"
"API-ZLO"|"api-zlo"|"Tabla de Buques Arribados al Puerto en el Año 2015"|"http://www.puertomanzanillo.com.mx/datos_abiertos/13_Buques_que_arriban_al_Puerto_de_Manzanillo.csv"
"API-ZLO"|"api-zlo"|"Tabla de Tonelada por tipo de carga en el año 2015"|"http://www.puertomanzanillo.com.mx/datos_abiertos/12_Toneladas_Manejadas_Por_tipo_de_Carga.pdf"
"API-ZLO"|"api-zlo"|"Tabla de Resumen Estadistico Operativo Año 2015"|"http://www.puertomanzanillo.com.mx/datos_abiertos/11_Informe_de_Operaciones_y_Movimientos_en_el_Puerto.pdf"
"API-ZLO"|"api-zlo"|"Tabla de Arribos y Zarpes de Buques que cargan y descargan en el año 2015"|"http://www.puertomanzanillo.com.mx/datos_abiertos/10_Arribos_y_Zarpes.csv"
"API-ZLO"|"api-zlo"|"Tabla de Fechas y Horarios de Inicio de Opercion de buques año 2015"|"http://www.puertomanzanillo.com.mx/datos_abiertos/9_Buques_Programados.csv"
"API-ZLO"|"api-zlo"|"Programa Operativo Anual 2015"|"http://www.puertomanzanillo.com.mx/datos_abiertos/7_POA_2015_APIMAN.pdf"
"API-ZLO"|"api-zlo"|"Consulta del Programa Maestro de Desarrollo Portuario 2015-2020"|"http://www.puertomanzanillo.com.mx/datos_abiertos/2_PMDP_Manzanillo_2012-2017.pdf"
"API-ZLO"|"api-zlo"|"Principales Mercancias Manejadas por el Puerto"|"http://www.puertomanzanillo.com.mx/datos_abiertos/1_Acerca_del_Puerto_handbook_APIMAN.pdf"
"API-ZLO"|"api-zlo"|"Tabla de de tipo de superficie y longitud."|"http://www.puertomanzanillo.com.mx/datos_abiertos/6_INFRAESTRUCTURA_PORTUARIA.pdf"
"API-ZLO"|"api-zlo"|"Tabla Informativa de Contratos "|"http://www.puertomanzanillo.com.mx/datos_abiertos/5_INVERSION_PUBLICA.pdf"
"API-ZLO"|"api-zlo"|"Tabla de consulta de Tramos Ocupado y Libres en el puerto año 2015"|"http://www.puertomanzanillo.com.mx/datos_abiertos/8_Estado_Actual_del_Puerto.csv"
"API-ZLO"|"api-zlo"|"Inventario Institucional de Datos de API-ZLO"|"https://adela-production.s3.amazonaws.com/uploads/inventory/spreadsheet_file/695/inventario_general_de_datos.xlsx"
"API-ZLO"|"api-zlo"|"Plan de Apertura Institucional de API-ZLO"|"http://adela.datos.gob.mx/plan-de-apertura/api-zlo/export.csv"
"INBA"|"inba"|"Listado de las distintas opciones de educación artística que ofrece el INBA en sus 29 escuelas"|"http://201.163.22.186/datos/oferta.php"
"CRE"|"cre"|"Tabla de Permisos de Actividades en Materia de Gas LP a Nivel Nacional de Junio de 2010 a Septiembre de 2016"|"http://www.cre.gob.mx/documento/5927.csv"
"INECC"|"inecc"|"Tabla de emisiones de gases  de efecto invernadero (GEI) de 2001."|"http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/2001.zip"
"INECC"|"inecc"|"Tabla de emisiones de gases  de efecto invernadero (GEI) de 1990."|"http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/1990.zip"
"INECC"|"inecc"|"Tabla de emisiones de gases  de efecto invernadero (GEI) de 1999."|"http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/1999.zip"
"INECC"|"inecc"|"Inventario Nacional de Emisiones de Gases y Compuestos de Efecto Invernadero (GEI) y Carbono Negro 2013. Sector:  Uso del Suelo, cambio del uso del suelo y silvicultura (USCUSS)"|"http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_2013/recurso_4/2013_recurso_4.zip"
"INECC"|"inecc"|"Tabla de emisiones de gases  de efecto invernadero (GEI) de 2009."|"http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/2009.zip"
"INECC"|"inecc"|"Tabla de  emisiones de GEI y carbono negro de 2013."|"http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_2013/recurso_2/2013_recurso_2.zip"
"INECC"|"inecc"|"Tabla de emisiones de gases  de efecto invernadero (GEI) de 2007."|"http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/2007.zip"
"INECC"|"inecc"|"Tabla de emisiones de gases  de efecto invernadero (GEI) de 1992."|"http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/1992.zip"
"INECC"|"inecc"|"Inventario Nacional de Emisiones de Gases y Compuestos de Efecto Invernadero (GEI) y Carbono Negro 2013. Los sectores son Fuentes móviles, Generación eléctrica, Residencial y comercial, Petróleo y gas, Industria (quema de combustible)"|"http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_2013/recurso_3/2013_recurso_3.zip"
"INECC"|"inecc"|"Inventario Nacional de Emisiones de Gases y Compuestos de Efecto Invernadero (GEI) y Carbono Negro 2013. Sectores: Agropecuario, Industria (procesos) y Residuos "|"http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_2013/recurso_2/2013_recurso_2.zip"
"INECC"|"inecc"|"Tabla de emisiones de gases  de efecto invernadero (GEI) de 2006."|"http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/2006.zip"
"INECC"|"inecc"|"Tabla de emisiones de gases  de efecto invernadero (GEI) de 1997."|"http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/1997.zip"
"INECC"|"inecc"|"Tabla de emisiones de gases  de efecto invernadero (GEI) de 1995."|"http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/1995.zip"
"INECC"|"inecc"|"Tabla de emisiones de gases  de efecto invernadero (GEI) de 1994."|"http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/1994.zip"
"INECC"|"inecc"|"Tabla de emisiones de gases  de efecto invernadero (GEI) de 1996."|"http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/1996.zip"
"INECC"|"inecc"|"Tabla de emisiones de gases  de efecto invernadero (GEI) de 2008."|"http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/2008.zip"
"INECC"|"inecc"|"Tabla de emisiones de gases  de efecto invernadero (GEI) de 1998."|"http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/1998.zip"
"INECC"|"inecc"|"Tabla de emisiones de gases  de efecto invernadero (GEI) de 2002."|"http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/2002.zip"
